"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get user me","LMS service","Tue Apr 29 18:45:06 GMT 2025","passed","Tue Apr 29 18:45:06 GMT 2025","Get entity","Users","",""
"","26","Get courses","LMS service","Tue Apr 29 18:44:58 GMT 2025","passed","Tue Apr 29 18:44:58 GMT 2025","Create entity","Courses","",""
"","28","Create course","LMS service","Tue Apr 29 18:44:57 GMT 2025","passed","Tue Apr 29 18:44:57 GMT 2025","Get entities","Courses","",""
"","17","Get exercises","LMS service","Tue Apr 29 18:45:02 GMT 2025","passed","Tue Apr 29 18:45:02 GMT 2025","Get entities","Exercises","",""
"","261","Create file with empty directory","LMS service","Tue Apr 29 18:45:04 GMT 2025","passed","Tue Apr 29 18:45:04 GMT 2025","Validate entity","Files","",""
"","16","Get exercise","LMS service","Tue Apr 29 18:45:00 GMT 2025","passed","Tue Apr 29 18:45:00 GMT 2025","Get entity","Exercises","",""
"","304","Update course","LMS service","Tue Apr 29 18:44:59 GMT 2025","passed","Tue Apr 29 18:44:59 GMT 2025","Update entity","Courses","",""
"","15","Get file","LMS service","Tue Apr 29 18:45:03 GMT 2025","passed","Tue Apr 29 18:45:03 GMT 2025","Get entity","Files","",""
"","262","Create file with empty filename","LMS service","Tue Apr 29 18:45:03 GMT 2025","passed","Tue Apr 29 18:45:03 GMT 2025","Validate entity","Files","",""
"","290","Delete exercise","LMS service","Tue Apr 29 18:45:01 GMT 2025","passed","Tue Apr 29 18:45:01 GMT 2025","Delete entity","Exercises","",""
"","293","Update exercise","LMS service","Tue Apr 29 18:45:00 GMT 2025","passed","Tue Apr 29 18:45:00 GMT 2025","Update entity","Exercises","",""
"","289","Create exercise","LMS service","Tue Apr 29 18:44:59 GMT 2025","passed","Tue Apr 29 18:44:59 GMT 2025","Create entity","Exercises","",""
"","23","Delete file","LMS service","Tue Apr 29 18:45:05 GMT 2025","passed","Tue Apr 29 18:45:05 GMT 2025","Delete entity","Files","",""
"","548","Create user","LMS service","Tue Apr 29 18:45:04 GMT 2025","passed","Tue Apr 29 18:45:05 GMT 2025","Create entity","Users","",""
"","287","Create user","LMS service","Tue Apr 29 18:45:05 GMT 2025","passed","Tue Apr 29 18:45:05 GMT 2025","Create entity","Users","",""
"","262","Create file","LMS service","Tue Apr 29 18:45:02 GMT 2025","passed","Tue Apr 29 18:45:02 GMT 2025","Create entity","Files","",""
"","539","Create user","LMS service","Tue Apr 29 18:45:05 GMT 2025","passed","Tue Apr 29 18:45:05 GMT 2025","Create entity","Users","",""
"","553","Login with correct email and password","LMS service","Tue Apr 29 18:44:57 GMT 2025","passed","Tue Apr 29 18:44:57 GMT 2025","Login","Authentication","",""
